Place,District,Month,Season,Weekend,Weather,Visitor_Count_Level,Visitor_Type,Foreign_Tourists,Kids_Visitors,Senior_Citizens,Business_Activity
Panchgani,Satara,December,Winter,No,Cool,High,Students,No,Low,Low,Low
Elephanta Caves,Mumbai,July,Monsoon,Yes,Rainy,Medium,Families,No,Medium,Low,Medium
Shani Shingnapur,Ahmednagar,August,Monsoon,Yes,Rainy,Medium,Students,Yes,Medium,High,Medium
Lonavala,Pune,September,Monsoon,No,Humid,High,Couples,Yes,Medium,Low,Medium
Aga Khan Palace,Pune,February,Winter,No,Cool,Medium,Couples,Yes,Low,Medium,Low
Gateway of India,Mumbai,June,Monsoon,Yes,Rainy,Medium,Families,No,High,Low,High
Ellora Caves,Aurangabad,August,Monsoon,No,Humid,Low,Students,No,Low,Low,Medium
Sindhudurg Fort,Sindhudurg,July,Monsoon,No,Rainy,Low,Couples,No,Medium,High,High
Pratapgad Fort,Satara,May,Summer,No,Warm,Low,Solo Travelers,No,Medium,High,High
Pratapgad Fort,Satara,June,Monsoon,No,Rainy,Low,Students,No,Low,Low,High
Panchgani,Satara,January,Winter,Yes,Cool,High,Couples,Yes,Medium,Low,Low
Shirdi,Ahmednagar,February,Winter,Yes,Pleasant,High,Families,Yes,Medium,High,High
Sindhudurg Fort,Sindhudurg,September,Monsoon,No,Rainy,Low,Couples,Yes,Low,Low,High
Kaas Plateau,Satara,October,Post-Monsoon,Yes,Clear,High,Couples,No,Medium,Low,Low
Elephanta Caves,Mumbai,June,Monsoon,No,Rainy,Low,Couples,No,High,High,Medium
Elephanta Caves,Mumbai,July,Monsoon,Yes,Humid,Medium,Families,No,Medium,Low,High
Gateway of India,Mumbai,November,Post-Monsoon,No,Clear,Medium,Couples,No,Low,Medium,Low
Ellora Caves,Aurangabad,November,Post-Monsoon,No,Pleasant,Medium,Families,Yes,Low,Medium,Medium
Shani Shingnapur,Ahmednagar,March,Summer,Yes,Humid,High,Families,No,Low,High,Low
Kaas Plateau,Satara,May,Summer,Yes,Hot,High,Foreign Tourists,No,High,Low,High
Ellora Caves,Aurangabad,August,Monsoon,Yes,Rainy,Medium,Couples,No,Medium,Low,Low
Panchgani,Satara,March,Summer,No,Hot,Low,Solo Travelers,No,Medium,Low,Low
Tarkarli Beach,Sindhudurg,April,Summer,No,Hot,Low,Couples,Yes,Medium,Low,High
Aga Khan Palace,Pune,April,Summer,Yes,Warm,Medium,Foreign Tourists,Yes,High,Low,Low
Aga Khan Palace,Pune,June,Monsoon,No,Humid,Low,Solo Travelers,Yes,High,Medium,High
Gateway of India,Mumbai,February,Winter,Yes,Cool,High,Students,Yes,Medium,Low,Low
Khandala,Pune,June,Monsoon,Yes,Rainy,High,Foreign Tourists,No,Medium,Low,Low
Kaas Plateau,Satara,March,Summer,Yes,Hot,Medium,Couples,No,High,Low,High
Daulatabad Fort,Aurangabad,January,Winter,Yes,Pleasant,High,Students,No,Low,High,Medium
Ellora Caves,Aurangabad,January,Winter,Yes,Pleasant,High,Families,Yes,Medium,Low,Medium
Khandala,Pune,October,Post-Monsoon,Yes,Clear,High,Couples,No,Medium,Low,Low
Elephanta Caves,Mumbai,March,Summer,No,Humid,Low,Foreign Tourists,Yes,Medium,Low,High
Gateway of India,Mumbai,December,Winter,Yes,Cool,High,Students,Yes,Medium,Low,Low
Elephanta Caves,Mumbai,October,Post-Monsoon,Yes,Clear,High,Students,Yes,Low,High,Low
Daulatabad Fort,Aurangabad,December,Winter,No,Cool,Medium,Families,Yes,Low,Low,High
Khandala,Pune,August,Monsoon,No,Humid,High,Families,No,Low,Low,Medium
Kaas Plateau,Satara,November,Post-Monsoon,Yes,Pleasant,High,Families,No,High,Low,Medium
Gateway of India,Mumbai,July,Monsoon,Yes,Rainy,Medium,Couples,Yes,Medium,Low,Low
Gateway of India,Mumbai,October,Post-Monsoon,No,Clear,Medium,Foreign Tourists,Yes,High,Low,Medium
Sindhudurg Fort,Sindhudurg,February,Winter,Yes,Pleasant,High,Families,Yes,Medium,Low,Medium
Tarkarli Beach,Sindhudurg,August,Monsoon,Yes,Humid,High,Couples,Yes,Medium,Low,Medium
Bhimashankar Temple,Pune,November,Post-Monsoon,No,Clear,Low,Families,No,Low,High,Medium
Pratapgad Fort,Satara,August,Monsoon,No,Humid,Low,Solo Travelers,Yes,Low,High,High
Matheran,Raigad,January,Winter,No,Pleasant,Medium,Solo Travelers,No,Low,Low,High
Bhimashankar Temple,Pune,May,Summer,Yes,Hot,Medium,Students,Yes,High,Medium,High
Raigad Fort,Raigad,March,Summer,Yes,Humid,Medium,Students,No,High,Low,Low
Mahabaleshwar,Satara,June,Monsoon,Yes,Rainy,Low,Solo Travelers,No,Medium,Low,Low
Aga Khan Palace,Pune,July,Monsoon,Yes,Rainy,Medium,Foreign Tourists,No,High,Low,Low
Lonavala,Pune,July,Monsoon,No,Humid,High,Students,Yes,Low,Low,Low
Tarkarli Beach,Sindhudurg,November,Post-Monsoon,No,Clear,Low,Families,No,Low,Medium,Medium
Shirdi,Ahmednagar,May,Summer,No,Hot,Low,Students,No,Medium,High,Medium
Pratapgad Fort,Satara,June,Monsoon,No,Humid,Low,Couples,No,Low,Medium,Low
Lonavala,Pune,January,Winter,Yes,Cool,Low,Families,No,High,Low,High
Ellora Caves,Aurangabad,August,Monsoon,Yes,Humid,Medium,Families,No,Medium,Low,Low
Ajanta Caves,Aurangabad,April,Summer,No,Humid,Low,Foreign Tourists,Yes,Medium,Low,Medium
Gateway of India,Mumbai,May,Summer,Yes,Hot,Medium,Students,Yes,High,Low,Low
Sindhudurg Fort,Sindhudurg,November,Post-Monsoon,Yes,Pleasant,High,Students,No,Medium,High,Low
Ajanta Caves,Aurangabad,April,Summer,No,Warm,Low,Couples,Yes,Medium,Low,Medium
Lonavala,Pune,August,Monsoon,No,Rainy,High,Families,No,Low,Low,Low
Lonavala,Pune,September,Monsoon,No,Humid,High,Foreign Tourists,No,High,Low,Medium
Shirdi,Ahmednagar,April,Summer,Yes,Humid,Medium,Students,No,High,Low,Low
Ajanta Caves,Aurangabad,November,Post-Monsoon,No,Pleasant,Medium,Solo Travelers,Yes,Low,Low,Low
Kaas Plateau,Satara,April,Summer,No,Humid,Low,Foreign Tourists,No,Medium,Low,Low
Shirdi,Ahmednagar,March,Summer,Yes,Humid,Medium,Students,No,High,High,Low
Elephanta Caves,Mumbai,November,Post-Monsoon,Yes,Clear,High,Foreign Tourists,Yes,Medium,Low,Medium
Kaas Plateau,Satara,May,Summer,No,Humid,Low,Families,No,Medium,Low,Medium
Raigad Fort,Raigad,September,Monsoon,Yes,Rainy,Medium,Students,Yes,Medium,Low,Medium
Panchgani,Satara,October,Post-Monsoon,No,Pleasant,High,Foreign Tourists,No,Low,Low,Low
Ellora Caves,Aurangabad,January,Winter,No,Pleasant,Medium,Families,Yes,Low,Low,High
Tarkarli Beach,Sindhudurg,July,Monsoon,No,Humid,Low,Families,Yes,Low,Low,Medium
Aga Khan Palace,Pune,April,Summer,Yes,Warm,Medium,Foreign Tourists,Yes,High,Low,High
Shani Shingnapur,Ahmednagar,July,Monsoon,No,Humid,Low,Couples,No,Low,High,Low
Trimbakeshwar Temple,Nashik,June,Monsoon,No,Humid,Low,Families,No,Low,High,High
Sindhudurg Fort,Sindhudurg,December,Winter,Yes,Pleasant,High,Solo Travelers,No,High,High,Low
Ellora Caves,Aurangabad,October,Post-Monsoon,Yes,Clear,High,Families,Yes,Medium,High,Low
Mahabaleshwar,Satara,August,Monsoon,Yes,Humid,High,Solo Travelers,No,Medium,Medium,Low
Trimbakeshwar Temple,Nashik,July,Monsoon,Yes,Humid,Medium,Students,No,Medium,High,Low
Raigad Fort,Raigad,May,Summer,Yes,Hot,Medium,Couples,No,High,Low,Medium
Sindhudurg Fort,Sindhudurg,January,Winter,Yes,Cool,High,Families,No,Medium,Low,Low
Daulatabad Fort,Aurangabad,December,Winter,Yes,Pleasant,High,Couples,No,Medium,Low,High
Shani Shingnapur,Ahmednagar,March,Summer,Yes,Hot,Medium,Families,No,High,High,High
Ajanta Caves,Aurangabad,March,Summer,Yes,Humid,Medium,Families,Yes,High,Low,Medium
Elephanta Caves,Mumbai,March,Summer,Yes,Warm,Medium,Couples,Yes,High,Low,Low
Gateway of India,Mumbai,February,Winter,Yes,Pleasant,High,Students,Yes,High,Medium,Low
Khandala,Pune,June,Monsoon,Yes,Humid,High,Couples,No,Medium,Low,High
Panchgani,Satara,August,Monsoon,Yes,Humid,Low,Solo Travelers,No,High,Low,Low
Tarkarli Beach,Sindhudurg,February,Winter,No,Pleasant,Medium,Students,No,Low,Low,Low
Tarkarli Beach,Sindhudurg,January,Winter,Yes,Cool,High,Families,No,Medium,Low,Medium
Elephanta Caves,Mumbai,April,Summer,No,Hot,Low,Families,Yes,High,Low,Medium
Pratapgad Fort,Satara,October,Post-Monsoon,No,Pleasant,Low,Families,No,Low,Medium,Medium
Panchgani,Satara,January,Winter,Yes,Cool,High,Couples,No,Medium,Low,Medium
Lonavala,Pune,January,Winter,Yes,Pleasant,High,Couples,No,Medium,Low,High
Shani Shingnapur,Ahmednagar,November,Post-Monsoon,Yes,Clear,Low,Families,No,Medium,High,High
Gateway of India,Mumbai,August,Monsoon,Yes,Rainy,Medium,Students,No,Medium,Low,High
Khandala,Pune,April,Summer,No,Hot,Low,Solo Travelers,No,Medium,Low,High
Pratapgad Fort,Satara,August,Monsoon,Yes,Humid,Medium,Solo Travelers,No,High,Low,High
Kaas Plateau,Satara,March,Summer,Yes,Humid,Low,Students,No,High,Low,Medium
Khandala,Pune,June,Monsoon,No,Humid,High,Solo Travelers,No,Medium,Low,Medium
Matheran,Raigad,November,Post-Monsoon,Yes,Pleasant,High,Students,No,Medium,Low,Low
Matheran,Raigad,December,Winter,No,Pleasant,Medium,Solo Travelers,No,Low,Low,Medium
Panchgani,Satara,January,Winter,Yes,Cool,Medium,Foreign Tourists,No,High,Low,Low
Mahabaleshwar,Satara,March,Summer,Yes,Hot,Medium,Solo Travelers,Yes,High,Low,Low
Matheran,Raigad,April,Summer,No,Humid,Low,Families,No,Medium,Low,Medium
Khandala,Pune,July,Monsoon,No,Humid,High,Students,No,Medium,Low,Low
Lonavala,Pune,October,Post-Monsoon,Yes,Pleasant,High,Students,No,Medium,Low,High
Aga Khan Palace,Pune,February,Winter,No,Cool,Low,Families,No,Low,Medium,High
Elephanta Caves,Mumbai,October,Post-Monsoon,Yes,Clear,High,Families,Yes,Medium,Low,Low
Elephanta Caves,Mumbai,September,Monsoon,Yes,Humid,Medium,Families,No,Medium,Low,Medium
Sindhudurg Fort,Sindhudurg,April,Summer,No,Warm,Low,Solo Travelers,No,Medium,Low,Low
Ajanta Caves,Aurangabad,February,Winter,No,Cool,Medium,Foreign Tourists,Yes,Low,Low,Medium
Shani Shingnapur,Ahmednagar,July,Monsoon,No,Humid,Low,Solo Travelers,No,Low,High,Low
Pratapgad Fort,Satara,August,Monsoon,Yes,Rainy,Medium,Solo Travelers,Yes,Medium,Low,Low
Ajanta Caves,Aurangabad,November,Post-Monsoon,Yes,Pleasant,High,Students,Yes,Medium,Low,Low
Panchgani,Satara,November,Post-Monsoon,Yes,Pleasant,High,Families,No,Medium,Low,High
Gateway of India,Mumbai,May,Summer,Yes,Humid,Medium,Couples,Yes,High,Low,Medium
Elephanta Caves,Mumbai,January,Winter,No,Cool,Medium,Families,Yes,Low,Low,Medium
Aga Khan Palace,Pune,February,Winter,No,Cool,Medium,Couples,Yes,Low,Medium,High
Matheran,Raigad,April,Summer,Yes,Humid,Medium,Students,No,High,Low,Medium
Lonavala,Pune,January,Winter,Yes,Cool,Medium,Foreign Tourists,No,Medium,Low,High
Lonavala,Pune,April,Summer,No,Warm,Low,Students,No,Medium,High,High
Gateway of India,Mumbai,November,Post-Monsoon,Yes,Pleasant,High,Foreign Tourists,Yes,Medium,Low,Low
Daulatabad Fort,Aurangabad,May,Summer,Yes,Humid,Medium,Students,No,High,Low,High
Shirdi,Ahmednagar,October,Post-Monsoon,Yes,Clear,High,Solo Travelers,No,Medium,High,High
Kaas Plateau,Satara,October,Post-Monsoon,No,Pleasant,Medium,Couples,No,Low,Low,Medium
Lonavala,Pune,March,Summer,No,Humid,Low,Families,No,Medium,Low,High
Tarkarli Beach,Sindhudurg,February,Winter,No,Cool,Medium,Families,No,High,Low,High
Aga Khan Palace,Pune,November,Post-Monsoon,Yes,Pleasant,High,Solo Travelers,Yes,Medium,Low,Medium
Matheran,Raigad,September,Monsoon,No,Humid,Low,Students,No,Medium,Low,Medium
Aga Khan Palace,Pune,September,Monsoon,Yes,Rainy,Medium,Solo Travelers,No,Medium,Low,High
Pratapgad Fort,Satara,March,Summer,Yes,Warm,Medium,Families,Yes,High,Low,High
Bhimashankar Temple,Pune,April,Summer,Yes,Warm,Medium,Couples,No,High,High,Medium
Pratapgad Fort,Satara,January,Winter,Yes,Pleasant,High,Foreign Tourists,No,Medium,Low,Low
Matheran,Raigad,October,Post-Monsoon,Yes,Pleasant,High,Solo Travelers,No,Medium,Low,Medium
Khandala,Pune,April,Summer,No,Humid,Low,Families,No,Medium,Low,Low
Trimbakeshwar Temple,Nashik,August,Monsoon,Yes,Rainy,Medium,Foreign Tourists,No,Medium,High,Low
Shani Shingnapur,Ahmednagar,November,Post-Monsoon,Yes,Pleasant,High,Couples,No,Medium,Low,High
Sindhudurg Fort,Sindhudurg,January,Winter,Yes,Cool,High,Students,Yes,Medium,Low,Medium
Gateway of India,Mumbai,September,Monsoon,No,Rainy,Low,Couples,No,Low,Medium,Low
Bhimashankar Temple,Pune,August,Monsoon,Yes,Humid,Medium,Students,No,Medium,Medium,Low
Elephanta Caves,Mumbai,August,Monsoon,Yes,Humid,Medium,Students,No,Medium,High,Low
Shani Shingnapur,Ahmednagar,March,Summer,No,Hot,Low,Families,No,Medium,High,Medium
Trimbakeshwar Temple,Nashik,October,Post-Monsoon,Yes,Clear,High,Families,No,Medium,High,Low
Aga Khan Palace,Pune,July,Monsoon,Yes,Rainy,Medium,Couples,No,Medium,Low,High
Mahabaleshwar,Satara,August,Monsoon,Yes,Rainy,High,Solo Travelers,Yes,Low,Low,High
Khandala,Pune,November,Post-Monsoon,Yes,Clear,High,Foreign Tourists,No,Medium,Low,Low
Panchgani,Satara,October,Post-Monsoon,No,Clear,Medium,Students,No,Low,Low,Medium
Matheran,Raigad,September,Monsoon,No,Rainy,Low,Families,No,Low,Low,Low
Sindhudurg Fort,Sindhudurg,August,Monsoon,Yes,Rainy,Low,Students,No,Medium,Low,Medium
Ajanta Caves,Aurangabad,February,Winter,Yes,Cool,High,Solo Travelers,Yes,Medium,Medium,High
Khandala,Pune,July,Monsoon,No,Humid,High,Couples,No,Low,Low,High
Raigad Fort,Raigad,November,Post-Monsoon,No,Pleasant,Medium,Families,No,Low,Low,Medium
Sindhudurg Fort,Sindhudurg,November,Post-Monsoon,Yes,Clear,High,Couples,No,Low,Low,Low
Raigad Fort,Raigad,September,Monsoon,Yes,Humid,Medium,Foreign Tourists,No,High,Low,Medium
Sindhudurg Fort,Sindhudurg,October,Post-Monsoon,Yes,Pleasant,High,Solo Travelers,No,Medium,High,High
Aga Khan Palace,Pune,May,Summer,No,Humid,Low,Foreign Tourists,Yes,Medium,Low,Low
Pratapgad Fort,Satara,July,Monsoon,No,Humid,Low,Solo Travelers,No,Low,Low,High
Bhimashankar Temple,Pune,February,Winter,No,Pleasant,High,Solo Travelers,No,Low,High,Low
Ajanta Caves,Aurangabad,December,Winter,No,Pleasant,Medium,Students,Yes,Medium,High,Low
Mahabaleshwar,Satara,March,Summer,Yes,Hot,Medium,Students,No,High,Low,High
Sindhudurg Fort,Sindhudurg,October,Post-Monsoon,No,Pleasant,Medium,Solo Travelers,No,High,Low,High
Bhimashankar Temple,Pune,June,Monsoon,No,Humid,Low,Students,No,Low,High,Low
Mahabaleshwar,Satara,July,Monsoon,Yes,Humid,High,Couples,No,Low,Low,Low
Gateway of India,Mumbai,August,Monsoon,Yes,Humid,Medium,Solo Travelers,Yes,Medium,Low,High
Elephanta Caves,Mumbai,June,Monsoon,No,Humid,Low,Foreign Tourists,No,Low,Low,High
Bhimashankar Temple,Pune,July,Monsoon,Yes,Humid,Medium,Students,No,Medium,High,Low
Trimbakeshwar Temple,Nashik,October,Post-Monsoon,Yes,Clear,High,Students,No,Medium,High,High
Trimbakeshwar Temple,Nashik,August,Monsoon,Yes,Humid,Medium,Couples,No,Medium,High,Medium
Mahabaleshwar,Satara,September,Monsoon,Yes,Rainy,High,Couples,No,Medium,Medium,Low
Elephanta Caves,Mumbai,May,Summer,No,Warm,Low,Families,Yes,Medium,Low,Medium
Tarkarli Beach,Sindhudurg,April,Summer,Yes,Humid,Medium,Couples,No,High,Low,High
Khandala,Pune,October,Post-Monsoon,No,Clear,Medium,Couples,No,Low,Low,Low
Tarkarli Beach,Sindhudurg,October,Post-Monsoon,No,Clear,Medium,Foreign Tourists,No,High,Low,Low
Khandala,Pune,May,Summer,No,Warm,Low,Couples,No,Medium,Low,High
Gateway of India,Mumbai,January,Winter,Yes,Cool,High,Students,Yes,Medium,Low,High
Khandala,Pune,February,Winter,Yes,Cool,Low,Families,No,Medium,Medium,Medium
Tarkarli Beach,Sindhudurg,March,Summer,Yes,Warm,Medium,Couples,No,High,Low,Low
Trimbakeshwar Temple,Nashik,March,Summer,Yes,Humid,Low,Foreign Tourists,No,High,High,Low
Pratapgad Fort,Satara,March,Summer,Yes,Warm,Medium,Solo Travelers,No,High,Low,Low
Matheran,Raigad,May,Summer,No,Warm,Low,Students,No,Medium,Medium,Medium
Ajanta Caves,Aurangabad,January,Winter,Yes,Pleasant,High,Foreign Tourists,Yes,Medium,Medium,High
Panchgani,Satara,May,Summer,Yes,Warm,Medium,Couples,No,High,Low,High
Gateway of India,Mumbai,December,Winter,No,Pleasant,Medium,Foreign Tourists,Yes,Low,High,Low
Matheran,Raigad,May,Summer,No,Humid,Low,Couples,No,High,Low,Medium
Tarkarli Beach,Sindhudurg,August,Monsoon,Yes,Humid,Medium,Foreign Tourists,Yes,Medium,Low,High
Pratapgad Fort,Satara,December,Winter,Yes,Pleasant,High,Couples,No,Medium,Low,Medium
Pratapgad Fort,Satara,December,Winter,Yes,Cool,High,Solo Travelers,Yes,Medium,Low,Medium
Gateway of India,Mumbai,April,Summer,No,Warm,Low,Students,Yes,Medium,High,Low
Ellora Caves,Aurangabad,April,Summer,No,Warm,Low,Foreign Tourists,Yes,High,Low,High
Ellora Caves,Aurangabad,December,Winter,Yes,Cool,High,Families,Yes,Medium,Low,High
Panchgani,Satara,June,Monsoon,Yes,Humid,Medium,Solo Travelers,Yes,Medium,High,High
Lonavala,Pune,February,Winter,Yes,Cool,High,Families,No,Low,Low,Medium
Trimbakeshwar Temple,Nashik,December,Winter,Yes,Pleasant,Medium,Couples,No,Medium,High,Low
Raigad Fort,Raigad,January,Winter,No,Pleasant,Medium,Solo Travelers,No,High,Low,Low
Bhimashankar Temple,Pune,April,Summer,Yes,Humid,Medium,Solo Travelers,No,High,High,High
Daulatabad Fort,Aurangabad,September,Monsoon,Yes,Humid,Medium,Students,No,Medium,Low,High
Tarkarli Beach,Sindhudurg,June,Monsoon,Yes,Rainy,Medium,Solo Travelers,No,Low,Low,Medium
Elephanta Caves,Mumbai,July,Monsoon,No,Humid,High,Students,Yes,High,Low,High
Ellora Caves,Aurangabad,October,Post-Monsoon,No,Clear,Medium,Students,Yes,Low,Low,Low
Daulatabad Fort,Aurangabad,January,Winter,Yes,Cool,High,Foreign Tourists,No,Medium,Low,Low
Panchgani,Satara,June,Monsoon,Yes,Rainy,Medium,Students,No,Medium,High,Low
Shani Shingnapur,Ahmednagar,February,Winter,Yes,Cool,High,Solo Travelers,No,Medium,High,Low
Matheran,Raigad,July,Monsoon,Yes,Humid,Medium,Families,No,Medium,Low,High
Gateway of India,Mumbai,September,Monsoon,No,Humid,Low,Foreign Tourists,No,Low,Low,Low
Elephanta Caves,Mumbai,June,Monsoon,No,Rainy,Low,Couples,No,Low,Low,Low
Mahabaleshwar,Satara,June,Monsoon,No,Rainy,High,Solo Travelers,No,Low,Low,High
Shirdi,Ahmednagar,January,Winter,No,Pleasant,Medium,Solo Travelers,No,Low,High,Low
Matheran,Raigad,October,Post-Monsoon,Yes,Pleasant,Low,Students,No,Medium,Medium,Medium
Shirdi,Ahmednagar,February,Winter,No,Cool,Medium,Couples,No,Low,Low,Low
Kaas Plateau,Satara,February,Winter,No,Pleasant,Low,Couples,No,High,Low,High
Sindhudurg Fort,Sindhudurg,December,Winter,Yes,Cool,High,Foreign Tourists,No,Medium,High,Low
Sindhudurg Fort,Sindhudurg,March,Summer,Yes,Humid,Medium,Solo Travelers,No,High,Low,High
Sindhudurg Fort,Sindhudurg,July,Monsoon,No,Humid,Low,Families,No,Medium,High,Medium
Aga Khan Palace,Pune,July,Monsoon,Yes,Rainy,Medium,Solo Travelers,No,Medium,Low,Low
Aga Khan Palace,Pune,April,Summer,Yes,Warm,Low,Foreign Tourists,No,High,Low,Medium
Raigad Fort,Raigad,June,Monsoon,No,Humid,Low,Solo Travelers,No,Medium,Low,High
Pratapgad Fort,Satara,January,Winter,Yes,Cool,High,Families,No,Medium,Low,High
Tarkarli Beach,Sindhudurg,March,Summer,No,Humid,High,Solo Travelers,No,Medium,Low,High
Raigad Fort,Raigad,September,Monsoon,No,Rainy,Low,Couples,No,Low,Low,Low
Aga Khan Palace,Pune,January,Winter,No,Cool,Medium,Couples,Yes,Low,Low,Low
Ajanta Caves,Aurangabad,February,Winter,No,Cool,Medium,Families,Yes,Low,Low,Medium
Khandala,Pune,April,Summer,No,Humid,Low,Solo Travelers,No,Medium,Low,High
Gateway of India,Mumbai,April,Summer,No,Warm,Low,Students,Yes,Medium,Medium,High
Lonavala,Pune,November,Post-Monsoon,No,Clear,Medium,Families,No,Low,Low,Low
Mahabaleshwar,Satara,July,Monsoon,Yes,Humid,High,Students,No,Medium,Low,High
Khandala,Pune,September,Monsoon,Yes,Humid,High,Couples,No,Medium,Low,Low
Trimbakeshwar Temple,Nashik,April,Summer,Yes,Warm,Medium,Students,Yes,High,High,Low
Kaas Plateau,Satara,March,Summer,No,Warm,High,Couples,Yes,Medium,Low,Medium
Shirdi,Ahmednagar,August,Monsoon,No,Humid,Low,Solo Travelers,No,Low,Medium,Low
Tarkarli Beach,Sindhudurg,April,Summer,Yes,Humid,Medium,Solo Travelers,No,Medium,Low,Medium
Lonavala,Pune,March,Summer,No,Hot,Low,Foreign Tourists,No,High,Low,Medium
Sindhudurg Fort,Sindhudurg,December,Winter,Yes,Pleasant,High,Couples,No,Low,Low,High
Panchgani,Satara,July,Monsoon,Yes,Rainy,Medium,Solo Travelers,No,Medium,Low,High
Pratapgad Fort,Satara,August,Monsoon,Yes,Rainy,Medium,Solo Travelers,No,Medium,Low,Medium
Aga Khan Palace,Pune,November,Post-Monsoon,Yes,Clear,High,Couples,Yes,Medium,Low,High
Panchgani,Satara,May,Summer,Yes,Hot,Medium,Solo Travelers,No,High,Low,High
Gateway of India,Mumbai,October,Post-Monsoon,Yes,Pleasant,High,Couples,Yes,Medium,Medium,High
Mahabaleshwar,Satara,June,Monsoon,Yes,Rainy,High,Solo Travelers,No,High,Low,Low
Khandala,Pune,December,Winter,Yes,Cool,High,Students,No,Medium,Low,High
Gateway of India,Mumbai,December,Winter,Yes,Cool,High,Families,Yes,Medium,Low,High
Raigad Fort,Raigad,January,Winter,No,Cool,Low,Students,Yes,Low,Low,Low
Bhimashankar Temple,Pune,August,Monsoon,No,Rainy,Low,Families,No,Low,Low,High
Trimbakeshwar Temple,Nashik,January,Winter,No,Cool,High,Families,No,Low,High,High
Panchgani,Satara,March,Summer,Yes,Humid,Medium,Students,No,High,Low,Medium
Kaas Plateau,Satara,June,Monsoon,Yes,Humid,Low,Solo Travelers,No,Medium,Low,High
Shirdi,Ahmednagar,August,Monsoon,Yes,Rainy,Low,Solo Travelers,No,Medium,High,High
Shani Shingnapur,Ahmednagar,October,Post-Monsoon,Yes,Clear,High,Couples,No,Medium,High,Low
Elephanta Caves,Mumbai,May,Summer,No,Warm,Low,Couples,Yes,Medium,Low,High
Tarkarli Beach,Sindhudurg,April,Summer,No,Humid,Low,Students,No,High,Low,Low
Panchgani,Satara,July,Monsoon,Yes,Humid,Medium,Foreign Tourists,Yes,Medium,Low,High
Shirdi,Ahmednagar,May,Summer,No,Humid,Low,Families,No,Low,High,High
Raigad Fort,Raigad,June,Monsoon,No,Humid,Low,Students,Yes,Low,Low,Low
Pratapgad Fort,Satara,September,Monsoon,No,Humid,Low,Solo Travelers,Yes,Low,Low,Low
Ajanta Caves,Aurangabad,April,Summer,No,Warm,Low,Families,Yes,Medium,Low,Medium
Khandala,Pune,November,Post-Monsoon,Yes,Clear,High,Foreign Tourists,No,Medium,Low,Low
Ellora Caves,Aurangabad,May,Summer,No,Humid,High,Foreign Tourists,Yes,Medium,Low,High
Shani Shingnapur,Ahmednagar,June,Monsoon,Yes,Rainy,Medium,Students,Yes,Medium,High,Medium
Bhimashankar Temple,Pune,December,Winter,No,Cool,Medium,Students,No,High,High,Low
Ellora Caves,Aurangabad,August,Monsoon,No,Rainy,Low,Foreign Tourists,No,Low,High,Medium
Ellora Caves,Aurangabad,February,Winter,No,Pleasant,Low,Foreign Tourists,Yes,Low,Low,Low
Elephanta Caves,Mumbai,August,Monsoon,Yes,Humid,Medium,Solo Travelers,No,Medium,High,Medium
Mahabaleshwar,Satara,March,Summer,No,Humid,Low,Couples,No,Medium,Low,High
Trimbakeshwar Temple,Nashik,January,Winter,No,Pleasant,Medium,Solo Travelers,No,Medium,Low,Medium
Shirdi,Ahmednagar,June,Monsoon,Yes,Humid,Medium,Solo Travelers,No,Medium,High,High
Daulatabad Fort,Aurangabad,December,Winter,No,Cool,Low,Students,No,Low,Low,High
Tarkarli Beach,Sindhudurg,May,Summer,No,Warm,Low,Couples,No,Medium,Low,Medium
